Company Name,Similar Name,Same/Different,Category,Country same or not,Parent same or not,Unnamed: 6
HARRIS COUNTY CSCD,HARRIS COUNTY,same,one word missing,same,,
HARRIS COUNTY CSCD,HARRIS COUNTY ITC,same,last word different,same,,
RICHLAND COUNTY EMERGENCY SERVICES,LANDER COUNTY EMERGENCY SERVICES,different,first word different,same,,
CS RECURSOS GEOTERMICO ICE,CS RECURSOS GEOTAARMICO ICE,same,mispell,same,,
HARRIS COUNTY ITC,HARRIS COUNTY ,same,one word missing,same,,
1ST NATIONAL COMMUNITY BANK,1ST NATIONAL BANK,same,one word missing,same,,
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,different,last word different,different,,
FIRST NATIONAL BANK AND TRUST,FIRST NATIONAL BANK TRUST,same,one word missing,same,,
1ST NATIONAL COMMUNITY BANK,COMMUNITY FIRST NATIONAL BANK,different,ordering different,same,,
20TH CENTURY FOX FILM,20TH CENTURY FOX CONFIG CTR,same,last word different,same,,
4TH CIRCUIT COURT OF APPEALS,4TH CIRCUIT COURT,same,one word missing,same,,
4TH CIRCUIT COURT OF APPEALS,COURT OF APPEALS 4TH CIRCUIT,same,ordering different,same,,
WOODWARDOHMS,"WOODWARD
",same,,same,,
WORKERS COMPENSATION BOAR,WORKERS COMPENSATION BOARD,same,mispell,same,,
WORKERS COMPENSATION BOARD OF BRITISH COLUMBIA,WORKERS COMPENSATION BOARD OF PRINCE EDWARD ISLAND,different,,same,parent same should be same or different,
5TH CIRCUIT COURT,7TH CIRCUIT COURT,different,,same,,
513TH ELECTRIC WARFARE SQUADRON,5TH ELECTROMAGNETIC WARFARE SQUADRON,different,,same,,
ORIFLAME CHILE,ORIFLAME COLOMBIA,different,,different,,
ORIFLAME DEL ECUADOR,ORIFLAME MEXICO,different,,different,,
ORION,ORIZON,different,,same,,
5 STONES RESEARCH,"FIVE STONES RESEARCH
",same,number as word,same,,
6TH MEDICAL GROUP,6TH MEDICAL GROUP DEFENSE HEALTH AGENCY,same,extra words,same,,
911SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD,SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD 911,same,ordering different,same,,
SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CA,SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CALIFORNIA,same,last word different,same,,
TELEKOM SALES SERVICES SDN,TELEKOM SMART SCHOOL SDN,different,,same,,
DOWNER EDI PROPERTIES,DOWNER EDI SERVICES PTY,different,,same,,subsidiaries
DOWNER EDI WORKS,DOWNER GROUP,different,,same,,subsidiaries
NEW ZEALAD DEFENCE FORCE,NZ DEFENCE FORCE,same,first word different,same,,
NEW ZEALAND POLICE,NEW ZEALAD DEFENCE FORCE,different,,same,,
ASIAN DEVELOPMENT BANK,ASIAN UNION BANK,different,one word different,same,,
BANC D'ORP,BDO UNIBANK,same,short form,same,,
BANCO ORO UNIVERSAL BANK,BDO UNIBANK,same,short form,same,,
BANCO ORO UNIVERSAL BANK,BANC D'ORO UNIVERSAL BANK,same,mispell,same,,
ALEXANDRA HEALTH,ALEXANDRA HOSPITAL,same,last word different,same,,
PARKWAY PANTAI,PARKWAY SHENTON,different,last word different,same,,
19TH JUDICIAL DISTRICT COURT,19TH JUDICIAL CIRCUIT,same,last word different,same,different,
1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,same,,same,different,
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,different,last word different,different,different,
COMMISSIONER OF PUBLIC WORKS,COMMISSIONERS OF PUBLIC WORKS,same,mispell,same,same,
COMMONWEALTH BANK,COMMONWEALTH CAPITAL,different,last word different,different,different,
