CDB_ID,Party_NumberĿ,Account(Customer_Name),Country_Code_Only
1,230401,FLEXERA SOFTWARE INC,US
2,230402,"TIANJIN SWCX TECHNOLOGY CORP., LTD",CN
3,230403,SUNGARD AVAILABILITY SERVICES,IN
4,230404,CLINSE LABS PRIVATE LIMITED,IN
5,230405,MYLAN INC,US
6,230406,COCHIN SHIPYARD LTD,IN
7,230407,KOTAK MAHINDRA GENERAL INSURANCE LTD,IN
8,230408,GUJARAT GAS COMPANY LIMITED,IN
9,230409,LLOYDS BANKING GROUP,IN
10,230410,RAJCOMP INFORMATION SERVICES LTD,IN
12,230411,HATHWAY CABLE & DATACOM LTD,IN
14,230412,BLACKROCK FINANCIAL MANAGEMENT INC,US
15,230413,IPCA LABORATORIES LTD,IN
16,230414,CHARTER COMMUNICATIONS INC,US
17,230415,COMPUTER SCIENCES CORP,US
18,230416,ALMOOSA SPECIALIST HOSPITAL,SA
19,230417,BNP PARIBAS CIB,SG
20,230418,AXA COLPATRIA,EC
21,230419,HDFC LIFE INSURANCE COMPANY LTD,IN
22,230420,TATA COMMUNICATIONS LTD,IN
23,230421,SHANGHAI PUDONG DEVELOPMENT BANK CO LTD,US
24,230422,MTN NIGERIA,NG
25,230423,BLUECREST CAPITAL MANAGEMENT LLP,GB
26,230424,   OLAM INFORMATION SERVICES PRIVATE LTD,IN
29,230425,TETRA PAK INFORMATION MANAGEMENT AB,SE
30,230426,THE CATHOLIC SYRIAN BANK LTD,IN
32,230427,PT BANK MANDIRI (PERSERO) TBK,ID
33,230428,SAUDI TELECOM CO,SA
34,230429,WELLSTAR HEALTH SYSTEMS,US
35,230430,COACH INC,US
36,230431,ERICSSON AB,SE
37,230432,GEA GROUP AG,DE
38,230433,BANK OF AMERICA,US
39,230434,EMCURE PHARMACEUTICALS LIMITED.,IN
40,230435,CENTURYLINK COMUNICACOES DO BRASIL LTDA,US
41,230436,KOTAK MAHINDRA BANK LIMITED,IN
42,230437,INFOSYS LTD,US
43,230438,SERVICIOS DE CALL CENTER DEL PERU SA,CL
46,230439,FERGUSON ENTERPRISES,US
47,230440,DIYAR UNITED COMPANY,KW
48,230441,ROSSELL TECHSYS DIVISION OF ROSSELL INDIA LTD,IN
49,230442,HAMAD MEDICAL CORP,QA
50,230443,SAUDI ELECTRICITY CO,SA
51,230444,TATA CONSULTANCY SERVICES LTD,IN
52,230445,CENTRAL PROVIDENT FUND,SG
53,230446,CAPGEMINI INDIA PVT LTD,IN
54,230447,KING FAHD UNIVERSITY OF PETROLEUM & MINERALS (KFUPM),SA
55,230448,BURUJ COOPERATIVE INSURANCE CO,SA
56,230449,QTERMINALS,US
57,230450,MINISTRY OF COMMUNICATIONS AND INFORMATION,SG
58,230451,MEDTRONIC INC,US
59,230452,T SYSTEMS DE MEXICO SA DE CV,MX
60,230453,BANK OF QUANZHOU,CN
61,230454,"PACIFIC CREDIT CARD CENTER ,BANK OF COMMUNICATIONS",CN
62,230455,99 CENTS ONLY STORES,US
63,230456,GESTOCI,CI
64,230457,BARWA REAL ESTATE GROUP,QA
65,230458,QATAR DEVELOPMENT BANK,QA
67,230459,ROYAL COMMISSION FOR JUBAIL & YANBU,SA
68,230460,MINISTRY OF EDUCATION,SA
