CDB_ID,Party_NumberĿ,Account(Customer_Name),Country_Code_Only
1,230401,FLEXERA SOFTWARE,US
2,230402,TIANJIN SWCX TECHNOLOGY,CN
3,230403,SUNGARD AVAILABILITY SERVICES,IN
4,230404,CLINSE LABS,IN
5,230405,MYLAN,US
6,230406,COCHIN SHIPYARD,IN
7,230407,KOTAK MAHINDRA GENERAL INSURANCE,IN
8,230408,GUJARAT GAS,IN
9,230409,LLOYDS BANKING GROUP,IN
10,230410,RAJCOMP INFORMATION SERVICES,IN
12,230411,HATHWAY CABLE DATACOM,IN
14,230412,BLACKROCK FINANCIAL MANAGEMENT,US
15,230413,IPCA LABORATORIES,IN
16,230414,CHARTER COMMUNICATIONS,US
17,230415,COMPUTER SCIENCES,US
18,230416,ALMOOSA SPECIALIST HOSPITAL,SA
19,230417,BNP PARIBAS CIB,SG
20,230418,AXA COLPATRIA,EC
21,230419,HDFC LIFE INSURANCE,IN
22,230420,TATA COMMUNICATIONS,IN
23,230421,SHANGHAI PUDONG DEVELOPMENT BANK,US
24,230422,MTN NIGERIA,NG
25,230423,BLUECREST CAPITAL MANAGEMENT LLP,GB
26,230424,OLAM INFORMATION SERVICES,IN
29,230425,TETRA PAK INFORMATION MANAGEMENT AB,SE
30,230426,CATHOLIC SYRIAN BANK,IN
32,230427,PT BANK MANDIRI PERSERO TBK,ID
33,230428,SAUDI TELECOM,SA
34,230429,WELLSTAR HEALTH SYSTEMS,US
35,230430,COACH,US
36,230431,ERICSSON AB,SE
37,230432,GEA GROUP AG,DE
38,230433,BANK OF AMERICA,US
39,230434,EMCURE PHARMACEUTICALS,IN
40,230435,CENTURYLINK COMUNICACOES DO BRASIL,US
41,230436,KOTAK MAHINDRA BANK,IN
42,230437,INFOSYS,US
43,230438,SERVICIOS CALL CENTER DEL PERU,CL
46,230439,FERGUSON ENTERPRISES,US
47,230440,DIYAR UNITED,KW
48,230441,ROSSELL TECHSYS DIVISION OF ROSSELL INDIA,IN
49,230442,HAMAD MEDICAL,QA
50,230443,SAUDI ELECTRICITY,SA
51,230444,TATA CONSULTANCY SERVICES,IN
52,230445,CENTRAL PROVIDENT FUND,SG
53,230446,CAPGEMINI INDIA,IN
54,230447,KING FAHD UNIVERSITY OF PETROLEUM MINERALS KFUPM,SA
55,230448,BURUJ COOPERATIVE INSURANCE,SA
56,230449,QTERMINALS,US
57,230450,MINISTRY OF COMMUNICATIONS AND INFORMATION,SG
58,230451,MEDTRONIC,US
59,230452,T SYSTEMS MEXICO,MX
60,230453,BANK OF QUANZHOU,CN
61,230454,PACIFIC CREDIT CARD CENTER BANK OF COMMUNICATIONS,CN
62,230455,99 CENTS ONLY STORES,US
63,230456,GESTOCI,CI
64,230457,BARWA REAL ESTATE GROUP,QA
65,230458,QATAR DEVELOPMENT BANK,QA
67,230459,ROYAL COMMISSION FOR JUBAIL YANBU,SA
68,230460,MINISTRY OF EDUCATION,SA
69,230461,BANK DISCOUNT,IL
70,230462,ECI TELECOM,IL
71,230463,TECHNICAL AND VOCATIONAL TRAINING TVTC,SA
72,230464,SANSUM GROUP,CN
73,230465,EGYPTIAN BANKS FOR TECHNOLOGICAL,EG
74,230466,GENPACT INDIA,IN
76,230467,RAD WARE,IL
79,230468,TOURBUS GROUP,IL
80,230469,ROBI AXIATA,BD
81,230470,SERVICIOS ADMINISTRATIVOS WAL MART,MX
83,230471,WSP CANADA GROUP,IN
84,230472,WSP CANADA,US
85,230473,CARLYLE INVESTMENT MANAGEMENT,US
86,230474,DXC SBI CARDS APJ,US
88,230475,KYNDRYL,US
90,230476,DR LAL PATHLABS,IN
91,230477,AGILITIX SAS,CO
92,230478,WOM COLOMBIA,CO
93,230479,TIM BRASIL,US
94,230480,NCS,SG
95,230481,CANCER HOSPITAL CHINESE ACADEMY OF MEDICAL SCIENCE SHENZHEN CENTER,CN
96,230482,SIEN QINGDAO INTEGRATED CIRCUITS,CN
97,230483,RABOBANK AUSTRALIA,US
99,230484,SAINT GOBAIN DSI,CN
100,230485,WESTPAC BANKING,AU
101,230486,WEIPU XIAMEN SCIENCE TECHNOLOGY,CN
102,230487,CHINA TOWER,CN
104,230488,SK CC,KR
