Company Name,Similar Name,Target,Simple Ratio,partial Ratio,Token Sort Ratio,Token Set Ratio
HARRIS COUNTY CSCD,HARRIS COUNTY,1,84,100,84,100
HARRIS COUNTY CSCD,HARRIS COUNTY ITC,1,86,94,74,87
RICHLAND COUNTY EMERGENCY SERVICES,LANDER COUNTY EMERGENCY SERVICES,0,91,97,91,91
CS RECURSOS GEOTERMICO ICE,CS RECURSOS GEOTAARMICO ICE,1,94,92,94,94
HARRIS COUNTY ITC,HARRIS COUNTY ,1,90,100,87,100
1ST NATIONAL COMMUNITY BANK,1ST NATIONAL BANK,1,77,87,77,100
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,0,79,100,79,100
FIRST NATIONAL BANK AND TRUST,FIRST NATIONAL BANK TRUST,1,93,89,93,100
1ST NATIONAL COMMUNITY BANK,COMMUNITY FIRST NATIONAL BANK,0,57,74,82,93
20TH CENTURY FOX FILM,20TH CENTURY FOX CONFIG CTR,1,79,89,79,86
4TH CIRCUIT COURT OF APPEALS,4TH CIRCUIT COURT,1,76,100,76,100
4TH CIRCUIT COURT OF APPEALS,COURT OF APPEALS 4TH CIRCUIT,1,57,73,100,100
WOODWARDOHMS,"WOODWARD
",1,76,94,80,80
WORKERS COMPENSATION BOAR,WORKERS COMPENSATION BOARD,1,98,100,98,98
WORKERS COMPENSATION BOARD OF BRITISH COLUMBIA,WORKERS COMPENSATION BOARD OF PRINCE EDWARD ISLAND,0,75,81,60,77
5TH CIRCUIT COURT,7TH CIRCUIT COURT,0,94,97,94,94
513TH ELECTRIC WARFARE SQUADRON,5TH ELECTROMAGNETIC WARFARE SQUADRON,0,87,81,87,87
ORIFLAME CHILE,ORIFLAME COLOMBIA,0,71,85,71,73
ORIFLAME DEL ECUADOR,ORIFLAME MEXICO,0,69,77,69,70
ORION,ORIZON,0,91,80,91,91
5 STONES RESEARCH,"FIVE STONES RESEARCH
",1,84,94,86,94
6TH MEDICAL GROUP,6TH MEDICAL GROUP DEFENSE HEALTH AGENCY,1,61,100,61,100
911SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD,SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD 911,1,94,97,86,99
SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CA,SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CALIFORNIA,1,93,100,93,97
TELEKOM SALES SERVICES SDN,TELEKOM SMART SCHOOL SDN,0,68,67,68,68
DOWNER EDI PROPERTIES,DOWNER EDI SERVICES PTY,0,73,80,77,77
DOWNER EDI WORKS,DOWNER GROUP,0,57,74,57,67
NEW ZEALAD DEFENCE FORCE,NZ DEFENCE FORCE,1,80,93,80,90
NEW ZEALAND POLICE,NEW ZEALAD DEFENCE FORCE,1,67,77,62,67
ASIAN DEVELOPMENT BANK,ASIAN UNION BANK,0,68,55,68,77
BANC D'ORP,BDO UNIBANK,1,29,46,29,29
BANCO ORO UNIVERSAL BANK,BDO UNIBANK,1,57,62,40,40
BANCO ORO UNIVERSAL BANK,BANC D'ORO UNIVERSAL BANK,1,94,92,94,94
ALEXANDRA HEALTH,ALEXANDRA HOSPITAL,1,76,81,76,76
PARKWAY PANTAI,PARKWAY SHENTON,0,69,74,48,69
19TH JUDICIAL DISTRICT COURT,19TH JUDICIAL CIRCUIT,0,78,83,78,78
1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1,100,100,100,100
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,0,79,100,79,100
COMMISSIONER OF PUBLIC WORKS,COMMISSIONERS OF PUBLIC WORKS,1,98,96,98,98
COMMONWEALTH BANK,COMMONWEALTH CAPITAL,0,76,88,76,83
COMMONWEALTH LAND TITLE,COMMONWEALTH LAND TITLE INSURANCE,1,82,100,82,100
COMMONWEALTH COURT OF PA,COMMONWEALTH COURT OF PENNSYLVANIA,1,83,98,83,93
2MI INFORMATICA,2MI TECNOLGOIA E INFORMATICA,1,70,89,70,100
2S INOVACOES TECNOLOGICAS,2S INOVACOES TECNOLOGICAS,1,100,100,100,100
3M COGENT,3M CANADA,0,56,67,56,56
83 FWS,83 FWS DO4,1,75,100,75,100
A R,A R ENGINEERING,1,33,100,33,100
