Company Name,Similar Name,Same/Different,Category,Country same or not,Parent same or not,Unnamed: 6,Simple Ratio,partial Ratio,Token Sort Ratio,Token Set Ratio
HARRIS COUNTY CSCD,HARRIS COUNTY,same,one word missing,same,,,84,100,84,100
HARRIS COUNTY CSCD,HARRIS COUNTY ITC,same,last word different,same,,,86,94,74,87
RICHLAND COUNTY EMERGENCY SERVICES,LANDER COUNTY EMERGENCY SERVICES,different,first word different,same,,,91,97,91,91
CS RECURSOS GEOTERMICO ICE,CS RECURSOS GEOTAARMICO ICE,same,mispell,same,,,94,92,94,94
HARRIS COUNTY ITC,HARRIS COUNTY ,same,one word missing,same,,,90,100,87,100
1ST NATIONAL COMMUNITY BANK,1ST NATIONAL BANK,same,one word missing,same,,,77,87,77,100
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,different,last word different,different,,,79,100,79,100
FIRST NATIONAL BANK AND TRUST,FIRST NATIONAL BANK TRUST,same,one word missing,same,,,93,89,93,100
1ST NATIONAL COMMUNITY BANK,COMMUNITY FIRST NATIONAL BANK,different,ordering different,same,,,57,74,82,93
20TH CENTURY FOX FILM,20TH CENTURY FOX CONFIG CTR,same,last word different,same,,,79,89,79,86
4TH CIRCUIT COURT OF APPEALS,4TH CIRCUIT COURT,same,one word missing,same,,,76,100,76,100
4TH CIRCUIT COURT OF APPEALS,COURT OF APPEALS 4TH CIRCUIT,same,ordering different,same,,,57,73,100,100
WOODWARDOHMS,"WOODWARD
",same,,same,,,76,94,80,80
WORKERS COMPENSATION BOAR,WORKERS COMPENSATION BOARD,same,mispell,same,,,98,100,98,98
WORKERS COMPENSATION BOARD OF BRITISH COLUMBIA,WORKERS COMPENSATION BOARD OF PRINCE EDWARD ISLAND,different,,same,parent same should be same or different,,75,81,60,77
5TH CIRCUIT COURT,7TH CIRCUIT COURT,different,,same,,,94,97,94,94
513TH ELECTRIC WARFARE SQUADRON,5TH ELECTROMAGNETIC WARFARE SQUADRON,different,,same,,,87,81,87,87
ORIFLAME CHILE,ORIFLAME COLOMBIA,different,,different,,,71,85,71,73
ORIFLAME DEL ECUADOR,ORIFLAME MEXICO,different,,different,,,69,77,69,70
ORION,ORIZON,different,,same,,,91,80,91,91
5 STONES RESEARCH,"FIVE STONES RESEARCH
",same,number as word,same,,,84,94,86,94
6TH MEDICAL GROUP,6TH MEDICAL GROUP DEFENSE HEALTH AGENCY,same,extra words,same,,,61,100,61,100
911SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD,SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD 911,same,ordering different,same,,,94,97,86,99
SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CA,SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CALIFORNIA,same,last word different,same,,,93,100,93,97
TELEKOM SALES SERVICES SDN,TELEKOM SMART SCHOOL SDN,different,,same,,,68,67,68,68
DOWNER EDI PROPERTIES,DOWNER EDI SERVICES PTY,different,,same,,subsidiaries,73,80,77,77
DOWNER EDI WORKS,DOWNER GROUP,different,,same,,subsidiaries,57,74,57,67
NEW ZEALAD DEFENCE FORCE,NZ DEFENCE FORCE,same,first word different,same,,,80,93,80,90
NEW ZEALAND POLICE,NEW ZEALAD DEFENCE FORCE,same,,same,,,67,77,62,67
ASIAN DEVELOPMENT BANK,ASIAN UNION BANK,different,one word different,same,,,68,55,68,77
BANC D'ORP,BDO UNIBANK,same,short form,same,,,29,46,29,29
BANCO ORO UNIVERSAL BANK,BDO UNIBANK,same,short form,same,,,57,62,40,40
BANCO ORO UNIVERSAL BANK,BANC D'ORO UNIVERSAL BANK,same,mispell,same,,,94,92,94,94
ALEXANDRA HEALTH,ALEXANDRA HOSPITAL,same,last word different,same,,,76,81,76,76
PARKWAY PANTAI,PARKWAY SHENTON,different,last word different,same,,,69,74,48,69
19TH JUDICIAL DISTRICT COURT,19TH JUDICIAL CIRCUIT,different,last word different,same,different,,78,83,78,78
1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,same,,same,different,,100,100,100,100
