Company Name,Similar Name,Target,Simple Ratio,partial Ratio,Token Sort Ratio,Token Set Ratio,word match percentage,first word match,last word match,character_matching_percentage,cosine similarity
HARRIS COUNTY CSCD,HARRIS COUNTY,1,84,100,84,100,66.66666666666666,True,False,72.22222222222221,0.816496580927726
HARRIS COUNTY CSCD,HARRIS COUNTY ITC,1,86,94,74,87,50.0,True,False,83.33333333333334,0.6666666666666669
RICHLAND COUNTY EMERGENCY SERVICES,LANDER COUNTY EMERGENCY SERVICES,0,91,97,91,91,60.0,False,True,2.941176470588235,0.75
CS RECURSOS GEOTERMICO ICE,CS RECURSOS GEOTAARMICO ICE,1,94,92,94,94,60.0,True,True,59.25925925925925,0.75
HARRIS COUNTY ITC,HARRIS COUNTY ,1,90,100,87,100,66.66666666666666,True,False,82.35294117647058,0.816496580927726
1ST NATIONAL COMMUNITY BANK,1ST NATIONAL BANK,1,77,87,77,100,75.0,True,True,48.148148148148145,0.8660254037844388
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,0,79,100,79,100,60.0,True,False,65.38461538461539,0.7745966692414834
FIRST NATIONAL BANK AND TRUST,FIRST NATIONAL BANK TRUST,1,93,89,93,100,80.0,True,True,72.41379310344827,0.8944271909999159
1ST NATIONAL COMMUNITY BANK,COMMUNITY FIRST NATIONAL BANK,0,57,74,82,93,60.0,False,True,3.4482758620689653,0.75
20TH CENTURY FOX FILM,20TH CENTURY FOX CONFIG CTR,1,79,89,79,86,50.0,True,False,62.96296296296296,0.6708203932499369
4TH CIRCUIT COURT OF APPEALS,4TH CIRCUIT COURT,1,76,100,76,100,60.0,True,False,60.71428571428571,0.7745966692414834
4TH CIRCUIT COURT OF APPEALS,COURT OF APPEALS 4TH CIRCUIT,1,57,73,100,100,100.0,False,False,3.571428571428571,0.9999999999999999
WOODWARDOHMS,"WOODWARD
",1,76,94,80,80,0.0,False,False,66.66666666666666,0.0
WORKERS COMPENSATION BOAR,WORKERS COMPENSATION BOARD,1,98,100,98,98,50.0,True,False,96.15384615384616,0.6666666666666669
WORKERS COMPENSATION BOARD OF BRITISH COLUMBIA,WORKERS COMPENSATION BOARD OF PRINCE EDWARD ISLAND,0,75,81,60,77,44.44444444444444,True,False,66.0,0.6172133998483676
5TH CIRCUIT COURT,7TH CIRCUIT COURT,0,94,97,94,94,50.0,False,True,94.11764705882352,0.6666666666666669
513TH ELECTRIC WARFARE SQUADRON,5TH ELECTROMAGNETIC WARFARE SQUADRON,0,87,81,87,87,33.33333333333333,False,True,5.555555555555555,0.5
ORIFLAME CHILE,ORIFLAME COLOMBIA,0,71,85,71,73,33.33333333333333,True,False,58.82352941176471,0.4999999999999999
ORIFLAME DEL ECUADOR,ORIFLAME MEXICO,0,69,77,69,70,25.0,True,False,50.0,0.408248290463863
ORION,ORIZON,0,91,80,91,91,0.0,False,False,50.0,0.0
5 STONES RESEARCH,"FIVE STONES RESEARCH
",1,84,94,86,94,50.0,False,True,0.0,0.816496580927726
6TH MEDICAL GROUP,6TH MEDICAL GROUP DEFENSE HEALTH AGENCY,1,61,100,61,100,50.0,True,False,43.58974358974359,0.7071067811865477
911SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD,SISTEMA NACIONAL ATENCION A EMERGENCIAS Y SEGURIDAD 911,1,94,97,86,99,66.66666666666666,False,False,5.454545454545454,0.7302967433402215
SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CA,SISTEMA PARA EL DESARROLLO INTEGRAL LA FAMILIA BAJA CALIFORNIA,1,93,100,93,97,80.0,True,False,87.09677419354838,0.8888888888888891
TELEKOM SALES SERVICES SDN,TELEKOM SMART SCHOOL SDN,0,68,67,68,68,33.33333333333333,True,True,46.15384615384615,0.5
DOWNER EDI PROPERTIES,DOWNER EDI SERVICES PTY,0,73,80,77,77,40.0,True,False,47.82608695652174,0.5773502691896258
DOWNER EDI WORKS,DOWNER GROUP,0,57,74,57,67,25.0,True,False,43.75,0.408248290463863
NEW ZEALAD DEFENCE FORCE,NZ DEFENCE FORCE,1,80,93,80,90,40.0,False,True,8.333333333333332,0.5773502691896258
NEW ZEALAND POLICE,NEW ZEALAD DEFENCE FORCE,0,67,77,62,67,16.666666666666664,True,False,45.83333333333333,0.2886751345948129
ASIAN DEVELOPMENT BANK,ASIAN UNION BANK,0,68,55,68,77,50.0,True,True,27.27272727272727,0.6666666666666669
BANC D'ORP,BDO UNIBANK,1,29,46,29,29,0.0,False,False,9.090909090909092,0.0
BANCO ORO UNIVERSAL BANK,BDO UNIBANK,1,57,62,40,40,0.0,False,False,4.166666666666666,0.0
BANCO ORO UNIVERSAL BANK,BANC D'ORO UNIVERSAL BANK,1,94,92,94,94,33.33333333333333,False,True,16.0,0.75
ALEXANDRA HEALTH,ALEXANDRA HOSPITAL,1,76,81,76,76,33.33333333333333,True,False,61.111111111111114,0.4999999999999999
PARKWAY PANTAI,PARKWAY SHENTON,0,69,74,48,69,33.33333333333333,True,False,53.333333333333336,0.4999999999999999
19TH JUDICIAL DISTRICT COURT,19TH JUDICIAL CIRCUIT,1,78,83,78,78,40.0,True,False,57.14285714285714,0.5773502691896258
1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1FLORIDA INTERNATIONAL UNIVERSITY RECREATION C,1,100,100,100,100,100.0,True,True,100.0,1.0
1ST NATIONAL BANK ST LUCIA,1ST NATIONAL BANK,0,79,100,79,100,60.0,True,False,65.38461538461539,0.7745966692414834
COMMISSIONER OF PUBLIC WORKS,COMMISSIONERS OF PUBLIC WORKS,1,98,96,98,98,60.0,False,True,41.37931034482759,0.75
COMMONWEALTH BANK,COMMONWEALTH CAPITAL,0,76,88,76,83,33.33333333333333,True,False,70.0,0.4999999999999999
COMMONWEALTH LAND TITLE,COMMONWEALTH LAND TITLE INSURANCE,1,82,100,82,100,75.0,True,False,69.6969696969697,0.8660254037844388
COMMONWEALTH COURT OF PA,COMMONWEALTH COURT OF PENNSYLVANIA,1,83,98,83,93,60.0,True,False,67.64705882352942,0.75
2MI INFORMATICA,2MI TECNOLGOIA E INFORMATICA,1,70,89,70,100,50.0,True,True,17.857142857142858,0.816496580927726
2S INOVACOES TECNOLOGICAS,2S INOVACOES TECNOLOGICAS,1,100,100,100,100,100.0,True,True,100.0,1.0000000000000002
3M COGENT,3M CANADA,0,56,67,56,56,33.33333333333333,True,False,44.44444444444444,0.4999999999999999
83 FWS,83 FWS DO4,1,75,100,75,100,66.66666666666666,True,False,60.0,0.816496580927726
A R,A R ENGINEERING,1,33,100,33,100,66.66666666666666,True,False,20.0,0.0
A F L A C AGENT,A F L A C,1,75,100,75,100,80.0,True,False,60.0,0.0
AAM INCORPORADORA IMOVEIS L,AAM INCORPORADORA IMOVEIS,1,96,100,96,100,75.0,True,False,92.5925925925926,1.0000000000000002
ABACUS IT,ABACUS SETTLEMENTS,0,59,88,59,80,33.33333333333333,True,False,38.88888888888889,0.4999999999999999
ABBOTT LABOROTORIES,ABBOTT LABS,1,73,95,73,73,33.33333333333333,True,False,52.63157894736842,0.4999999999999999
ABC NEWS,ABC NEWS RADIO,1,73,100,73,100,66.66666666666666,True,False,57.14285714285714,0.816496580927726
ACCIDENT FUND,ACCIDENT FUND,0,100,100,100,100,100.0,True,True,100.0,0.9999999999999998
ACE BERMUDA INSURANCE,ACE BERMUDA INSURANCE,0,100,100,100,100,100.0,True,True,100.0,1.0000000000000002
1 ACOS,1 ACOS/SCOT,1,71,100,71,100,33.33333333333333,True,False,54.54545454545454,0.7071067811865475
3S NETWORKS EIRELI,3S NETWORKS ME,0,81,96,81,88,50.0,True,False,66.66666666666666,0.6666666666666669
A P TECHNOLOGY,A M TECHNOLOGY,0,93,93,93,93,50.0,True,True,92.85714285714286,1.0
A R,A R ENGINEERING,1,33,100,33,100,66.66666666666666,True,False,20.0,0.0
A ANGELONI COMPANHIA,A ANGELONI CIA,1,82,92,82,83,50.0,True,False,60.0,0.4999999999999999
ADAMS KEEGAN,ADAMS FOAM,0,64,75,64,67,33.33333333333333,True,False,50.0,0.4999999999999999
ADAPTIVE OPTICS,ADAPTIVE OPTICS ASSOCIATES,1,73,100,73,100,66.66666666666666,True,False,57.692307692307686,0.816496580927726
ADAPTIVE OPTICS,ADAPTIVE INSIGHTS,0,69,81,69,70,33.33333333333333,True,False,58.82352941176471,0.4999999999999999
ADCO INDUSTRIES,ADCO GROUP,0,48,67,48,57,33.33333333333333,True,False,40.0,0.4999999999999999
ADCOS INDUSTRIAL E COMERCIO,ADCOS INDUSTRIA E COMERCIO,1,98,96,98,98,60.0,True,True,55.55555555555556,0.6666666666666669
ADDOC ADMINISTRACION DOCUMENTOS,ADDOC,1,28,100,28,100,33.33333333333333,True,False,16.129032258064516,0.5773502691896258
ADECCO USA,ADECCO TERTIAIRE,1,62,82,62,75,33.33333333333333,True,False,43.75,0.4999999999999999
ADEMCO RES HEADQUARTERS US,ADEMCO,1,38,100,38,100,25.0,True,False,23.076923076923077,0.5
ADEXUS PERU,ADEXUS PERU A,1,92,100,92,100,66.66666666666666,True,False,84.61538461538461,0.9999999999999998
ADEXUS PERU,ADEXUS CHILE,0,70,78,70,71,33.33333333333333,True,False,58.333333333333336,0.4999999999999999
ADIDAS CHILE,ADIDAS ARGENTINA,0,57,74,57,67,33.33333333333333,True,False,43.75,0.4999999999999999
ADIDAS CHILE ,ADIDAS CHILE SUCURSAL DEL PERU,0,60,100,57,100,40.0,True,False,43.333333333333336,0.6324555320336758
ADISTEC BOLIVIA,ADISTEC ARGENTINA,0,62,75,62,64,33.33333333333333,True,False,47.05882352941176,0.4999999999999999
ADISTEC MIAMI,ADISTEC ECUADOR,0,64,76,64,70,33.33333333333333,True,False,53.333333333333336,0.4999999999999999
ADITIVOS MEXICANOS ADITIVOS MEXICANOS,ADITIVOS MEXICANOS,1,65,100,65,100,100.0,True,True,48.64864864864865,0.9999999999999998
ADM PARAGUAY SRL ADM PARAGUAY,ADM PARAGUAY SRL,0,71,100,71,100,100.0,True,False,55.172413793103445,0.9622504486493764
ADMINISTRACIAAN PORTUARIA INTEGRAL MANZANILLO,ADMINISTRACIAAN PORTUARIA INTEGRAL ENSENADA,0,84,90,77,88,60.0,True,False,77.77777777777779,0.75
ADMINISTRACION COMPENSACIONES POR ACCIDENTES AUTOMOVILES,ADMINISTRACION COMPENSACION POR ACCIDENTES AUTOMOVILES,1,98,96,98,98,66.66666666666666,True,True,50.0,0.7999999999999999
ADMINISTRACION SEGUROS SALUD PR,ADMINISTRACION SEGUROS SALUD,1,95,100,95,100,75.0,True,False,90.32258064516128,0.8660254037844388
ADMINISTRACION SEGUROS DESALUD PUERTO RICO,ADMINISTRACION SEGUROS SALUD PUERTO RICO,1,98,95,83,98,66.66666666666666,True,True,54.761904761904766,0.7999999999999999
ADITUS SRL,ADIUM PHARMA,0,55,62,55,55,0.0,False,False,25.0,0.0
ADMINISTRACION FEDERAL INGRESOS PUBLICOS,ADMINISTRACION FEDERAL INGRESOS PUBLICOSAFIP,0,95,100,95,95,60.0,True,False,90.9090909090909,0.75
ADMINISTRACION GENERAL PUERTOS,ADMINISTRACION GENERAL PUERTOS SE,1,95,100,95,100,75.0,True,False,90.9090909090909,0.8660254037844388
ADMINISTRATIVE OFFICE OF US COURTS,ADMINISTRATIVE OFFICE OF UNITED STATES COURTS,1,86,87,84,95,57.14285714285714,True,True,57.77777777777777,0.7302967433402215
ADVANCED COMMUNICATION TECHNOLOGIES,ADVANCED COMMUNICATIONS TECHNOLOGY,1,93,97,93,93,20.0,True,False,62.857142857142854,0.3333333333333334
ADVANCED MICRO SERVICES,ADVANCED MICRO DEVICES,0,93,91,67,93,50.0,True,False,69.56521739130434,0.6666666666666669
ADVANCED SCIENCES TECHNOLOGY,ADVANCED SCIENCE TECHNOLOGIES,0,91,96,91,91,20.0,True,False,55.172413793103445,0.3333333333333334
ADVANSIX CHESTERFIELD PLANT ADVANSIX,ADVANSIX CHESTERFIELD PLANT,1,86,100,86,100,100.0,True,False,75.0,0.9428090415820636
ADVENTIST HEALTH CARE,ADVENTIST HEALTH CARE ADVENTIST HEALTH SYSTEM/SUNBELT,1,57,100,57,100,75.0,True,False,39.62264150943396,0.8703882797784893
ADVENTIST HEALTH SYSTEM SUNBEL,ADVENTIST HEALTH SYSTEM SUNBELT,1,98,100,98,98,60.0,True,False,96.7741935483871,0.75
ADVOCATE HEALTH AND HOSPITALS A,ADVOCATE HEALTH AND HOSPITALS,1,97,100,97,100,80.0,True,False,93.54838709677419,1.0
ADVOCATE HEALTH CARE NETWORK A,ADVOCATE HEALTH CARE NETWORK,1,97,100,97,100,80.0,True,False,93.33333333333333,1.0
AEG WORLDWIDE PO 23598,AEG WORLDWIDE PO 24090,0,86,90,86,86,60.0,True,False,86.36363636363636,0.75
AEGON DIRECT MARKETING SERVICES,AEGON DIRECT MARKETING SERVICE,1,98,100,98,98,60.0,True,False,96.7741935483871,0.75
AEQUITAS INNOVATIONS C O Q9,AEQUITAS INNOVATIONS,1,85,100,85,100,40.0,True,False,74.07407407407408,0.816496580927726
AEROJET ROCKETDYNE HOLDINGS,AEROJET ROCKETDYNE OPERATIONS,1,82,85,82,82,50.0,True,False,65.51724137931035,0.6666666666666669
AFFILIATED COMPUTER SERVICES,AFFILIATED COMPUTER SERVICES I,1,97,100,97,100,75.0,True,False,93.33333333333333,1.0000000000000002
AGENCE METROPOLITAINE TRANSPORTATION,AGENCE METROPOLITAINE TRANSPORTATION RSEAU TRANSPORT MTROPOLITAIN,1,71,100,71,100,50.0,True,False,55.38461538461539,0.7071067811865477
AGENCIA BRASILEIRA INTELIGENCIA ABIN,AGENCIA BRASILEIRA INTELIGENCIA,1,93,100,93,100,75.0,True,False,86.11111111111111,0.8660254037844388
AFLAC DISTRICT OFFFICE,AFLAC DISTRICT OFFICE,1,98,95,98,98,50.0,True,False,81.81818181818183,0.6666666666666669
AFLAC DISTRICT SALES OFFICE,AFLAC DISTRICT SALES SERVICE,1,87,88,73,87,60.0,True,False,75.0,0.75
AFLAC REGINAL OFFICE,AFLAC REGIONAL OFFICE,1,98,95,98,98,50.0,True,True,52.38095238095239,0.6666666666666669
SERVICIO EXTREMENO SALUD,SALUD EXTREMADURA,1,49,55,59,63,25.0,False,False,4.166666666666666,0.408248290463863
SERVICIO EXTREMENO SALUD,JUNTA EXTREMADURA,0,44,55,44,44,0.0,False,False,0.0,0.0
HASBRO AUSTRALIA,HASBRO,1,55,100,55,100,50.0,True,False,37.5,0.7071067811865475
HASBRO AUSTRALIA,HASBRO HASBRO,1,69,80,69,100,50.0,True,False,56.25,0.7071067811865475
HASBRO AUSTRALIA,HASBRO INTERNATIONAL,1,67,69,39,67,33.33333333333333,True,False,40.0,0.4999999999999999
AMICORP MANAGEMENT INDIA,AMICORP HOLDING,0,51,71,62,64,25.0,True,False,33.33333333333333,0.408248290463863
AMICORP MANAGEMENT INDIA,AMICORP HOLDINGS,0,50,69,60,61,25.0,True,False,33.33333333333333,0.408248290463863
AMICORP HOLDING,AMICORP HOLDINGS,1,97,100,97,97,33.33333333333333,True,False,93.75,0.4999999999999999
INDITEX,INDITEX_SA,1,82,100,82,100,0.0,False,False,70.0,0.0
MANTECH INTERNATIONAL,MANTECH MBI,different ,56,90,44,78,33.33333333333333,True,False,38.095238095238095,0.4999999999999999
MANTECH INTERNATIONAL,MANTECH MSM SECURITY SERVICES,different ,52,56,32,52,20.0,True,False,27.586206896551722,0.35355339059327373
